#automap RITHMIC,,,,,,,
Symbol,Price Level,Note,Foreground Color,Background Color,Text Alignment,Diameter,Draw Note Price Horizontal Line
MNQU6,30215.00,nCOI,#FFFFFF,#FFD000,left,1,TRUE
MNQU6,30090.00,C3;2*,#FFFFFF,#00E632,left,1,TRUE
MNQU6,29800.00,C2,#FFFFFF,#00E632,left,1,TRUE
MNQU6,29760.00,C1;1*,#FFFFFF,#00E632,left,1,TRUE
MNQU6,29720.00,P5,#FFFFFF,#E61E1E,left,1,TRUE
MNQU6,29680.00,Ab2,#FFFFFF,#E61E1E,left,1,TRUE
MNQU6,29595.00,Ab3,#FFFFFF,#E61E1E,left,1,TRUE
MNQU6,29515.00,HVL;P2,#FFFFFF,#0078FF,left,1,TRUE
MNQU6,29470.00,P3,#FFFFFF,#E61E1E,left,1,TRUE
MNQU6,29390.00,P4,#FFFFFF,#E61E1E,left,1,TRUE
MNQU6,29265.00,P1,#FFFFFF,#E61E1E,left,1,TRUE
MNQU6,29185.00,P6,#FFFFFF,#E61E1E,left,1,TRUE
MNQU6,28855.00,P7,#FFFFFF,#E61E1E,left,1,TRUE
